Rank,University,Lowest Place,#
1,Cornell University,1st,8
2,University of Michigan - Ann Arbor,1st,7
3,Auburn University,1st,3
4,Michigan State University,1st,3
5,Pennsylvania State University,1st,3
6,Rochester Institute of Technology,1st,3
7,University of Illinois at Urbana-Champaign,1st,3
8,University of Maryland,1st,3
9,Saginaw Valley State University,1st,2
10,The Ohio State University,1st,2
11,The University of Akron,1st,2
12,University of Florida,1st,2
13,California State Polytechnic University Pomona,1st,1
14,Kettering University,1st,1
15,North Carolina State University,1st,1
16,Oregon State University,1st,1
17,Rensselaer Polytechnic Institute,1st,1
18,San José State University,1st,1
19,Texas A&M University,1st,1
20,Missouri University of Science and Technology,2nd,2
21,University of Pittsburgh,2nd,2
22,University of South Florida,2nd,2
23,University of Washington,2nd,2
24,California State University Northridge,2nd,1
25,Georgia Institute of Technology,2nd,1
26,University of Connecticut,2nd,1
27,University of Kansas,2nd,1
28,Virginia Polytechnic Institute and State University,2nd,1
29,Western Washington University,2nd,1
30,University of Wisconsin-Madison,3rd,3
31,University of Texas at Arlington,3rd,2
32,Villanova University,3rd,2
33,California State Polytechnic University - San Luis Obispo,3rd,1
34,Clemson University,3rd,1
35,Drexel University,3rd,1
36,Kennesaw State University,3rd,1
37,Oakland University,3rd,1
38,Rutgers The State University of New Jersey,3rd,1
39,State University of New York at Buffalo,3rd,1
40,University of California San Diego,3rd,1
41,University of Nebraska–Lincoln,3rd,1
42,University of Toledo,3rd,1
43,Purdue University - West Lafayette,4th,2
44,Kansas State University,4th,1
45,Pellissippi State Community College,4th,1
46,South Dakota State University,4th,1
47,The University of Michigan-Dearborn,4th,1
48,University of California Irvine,4th,1
49,Lawrence Technological University,5th,3
50,University of Missouri,5th,3
51,Louisiana State University,5th,2
52,Brown University,5th,1
53,Oregon Institute of Technology,5th,1
54,University of Evansville,5th,1
55,University of North Carolina at Charlotte,5th,1
56,Arizona State University,6th,1
57,California State University Sacramento,6th,1
58,Dartmouth College,6th,1
59,University of Alabama,6th,1
60,University of Louisville,6th,1
61,University of North Dakota,6th,1
62,University of Texas at Austin,6th,1
63,University of Minnesota Twin Cities,7th,2
64,Worcester Polytechnic Institute,7th,2
65,Columbia University,7th,1
66,Duke University,7th,1
67,University of Oklahoma,7th,1
68,Florida Atlantic University,8th,1
69,United States Naval Academy,8th,1
70,University of Cincinnati,8th,1
71,University of New Mexico,8th,1
72,Iowa State University,9th,1
73,Middle Tennessee State University,9th,1
74,University of Idaho,9th,1
75,University of Southern California,9th,1
76,Western Michigan University,9th,1
77,California State University Fullerton,10th,1
78,Clarkson University,10th,1
79,Georgia Southern University,10th,1
80,Lehigh University,10th,1
81,Milwaukee School of Engineering,10th,1
82,University of Arizona,10th,1
83,University of New Hampshire,10th,1
84,University of Virginia,10th,1
85,West Virginia University,10th,1
86,Brigham Young University,11th,1
87,Lafayette College,11th,1
88,Minnesota State University Mankato,11th,1
89,University of California Santa Barbara,11th,1
90,University of Central Florida,11th,1
91,Wayne State University,11th,1
92,California State University Fresno,12th,1
93,Mississippi State University,12th,1
94,Northern Illinois University,12th,1
95,Southern Illinois University Carbondale,12th,1
96,Bradley University,13th,2
97,Loyola Marymount University,13th,1
98,Massachusetts Institute of Technology,13th,1
99,University of North Texas,13th,1
100,Northwestern University,14th,1
101,Oklahoma State University - Stillwater,14th,1
102,St. Cloud State University,14th,1
103,Old Dominion University,15th,1
104,University of California Berkeley,15th,1
105,University of Illinois at Chicago,15th,1
106,University of California Los Angeles,16th,1
107,University of Delaware,16th,1
108,York College of Pennsylvania,16th,1
109,Colorado State University,17th,1
110,Penn State Harrisburg,17th,1
111,University of Hartford,17th,1
112,Vanderbilt University,17th,1
113,California Baptist University,18th,1
114,Michigan Technological University,18th,1
115,Pittsburg State University,18th,1
116,South Dakota School of Mines and Technology,18th,1
117,University of Louisiana at Lafayette,18th,1
118,Wichita State University,18th,1
119,Central Piedmont Community College,19th,1
120,Portland State University,19th,1
121,University of Colorado at Boulder,19th,1
122,University of Pennsylvania,19th,1
123,Washington University in St. Louis,19th,1
124,Embry-Riddle Aeronautical University,20th,1
125,Santa Clara University,20th,1
126,Southern Illinois University Edwardsville,20th,1
127,Carnegie Mellon University,21st,1
128,Cooper Union,21st,1
129,Marquette University,21st,1
130,North Carolina Agricultural and Technical State University,21st,1
131,Rose-Hulman Institute of Technology,21st,1
132,United States Air Force Academy,21st,1
133,California State University Chico,22nd,1
134,Florida International University,22nd,1
135,Indiana University – Purdue University Indianapolis,22nd,1
136,Southern Methodist University,22nd,1
137,Hope College,23rd,1
138,Syracuse University,23rd,1
139,University of Wisconsin-Platteville,23rd,1
140,Tennessee Technological University,24th,1
141,University of Utah,24th,1
142,California State University Long Beach,25th,1
143,San Diego State University,25th,1
144,University of California Davis,25th,1
145,University of Texas at San Antonio,26th,1
146,Central Michigan University,27th,1
147,Temple University,27th,1
148,University of Hawaii at Manoa,27th,1
149,Colorado School of Mines,28th,1
150,Cedarville University,30th,1
151,Montana State University - Bozeman,30th,1
152,Union College,30th,1
153,Washington State University,30th,1
154,Polytechnic Institute of New York University,31st,1
155,University of Wyoming,31st,1
156,FAMU-FSU College of Engineering,34th,1
157,University of Colorado Denver,34th,1
158,University of Kentucky,35th,1
159,Monroe County Community College,37th,1
160,University of Alabama in Huntsville,38th,1
161,California State University Los Angeles,41st,1
162,University of North Florida,41st,1
163,Stevens Institute of Technology,42nd,2
164,University of Alabama at Birmingham,42nd,1
165,University of the Pacific,42nd,1
166,Florida Institute of Technology,43rd,1
167,University of St. Thomas,43rd,1
168,LeTourneau University,44th,1
169,The University of Texas at Dallas,44th,1
170,University of California Riverside,45th,1
171,Virginia Commonwealth University,47th,1
172,University of Houston,50th,1
173,New Jersey Institute of Technology,51st,1
174,Miami University,60th,1
175,University of Maine,61st,1
176,Grand Valley State University,62nd,1
177,Binghamton University,64th,1
178,University of Minnesota Duluth,64th,1
179,Case Western Reserve University,66th,1
180,Alabama A&M University,71st,1
181,Texas Tech University,74th,1
182,Colorado Mesa University,82nd,1
183,Ferris State University,82nd,1
184,Purdue University - Northwest,83rd,1
185,University of Portland,84th,1
186,North Dakota State University,85th,1
187,Saint Louis University,89th,1
188,City College of The City University of New York,N/A,0
189,Grand Canyon University,N/A,0
190,Midwestern State University,N/A,0
191,Nicholls State University,N/A,0
192,Philadelphia University,N/A,0
193,Texas State University,N/A,0
194,University of Georgia,N/A,0
195,University of Iowa,N/A,0
196,University of Massachusetts Dartmouth,N/A,0
197,University of Massachusetts Lowell,N/A,0
198,University of South Carolina,N/A,0
199,Vaughn College of Aeronautics and Technology,N/A,0
