Rank,University,Lowest Place,#
1,Oxford Brookes University,2nd,1
2,University of Bath,3rd,1
3,University Of Hertfordshire,4th,1
4,Coventry University,5th,1
5,University of Warwick,8th,1
6,University of Surrey,10th,1
7,University of Strathclyde,13th,1
8,Queen's University Belfast,14th,1
9,Brunel University London,N/A,0
10,Heriot-Watt University,N/A,0
11,Imperial College London,N/A,0
12,Kingston University,N/A,0
13,Lancaster  University,N/A,0
14,Liverpool John Moores University,N/A,0
15,Loughborough University,N/A,0
16,Manchester Metropolitan University,N/A,0
17,Newcastle University,N/A,0
18,University of Birmingham,N/A,0
19,University of Bristol,N/A,0
20,University of Glasgow,N/A,0
21,University of Leicester,N/A,0
22,University of Liverpool,N/A,0
23,University of Nottingham,N/A,0
24,University of Oxford,N/A,0
25,University of Southampton,N/A,0
26,University of Sussex,N/A,0
