Rank,University,Lowest Place,#
1,University of Leeds,1st,2
2,Cardiff University Wales,1st,1
3,Coventry University,1st,1
4,University of Glasgow,1st,1
5,University of Sheffield,1st,1
6,Loughborough University,2nd,1
7,Oxford Brookes University,2nd,1
8,University College London,2nd,1
9,University of Bath,2nd,1
10,University of Birmingham,2nd,1
11,University of the West of England,2nd,1
12,University of Aberdeen,3rd,1
13,University of Huddersfield,4th,1
14,Manchester Metropolitan University,5th,1
15,Sheffield Hallam University,5th,1
16,University Of Hertfordshire,5th,1
17,University of Wales Trinity Saint David,5th,1
18,Brunel University London,6th,1
19,Staffordshire University,6th,1
20,Queen's University Belfast,7th,1
21,University of Central Lancashire,7th,1
22,University of Dundee,7th,1
23,Lancaster  University,8th,1
24,University of Strathclyde,8th,1
25,University of Ulster,8th,1
26,Imperial College London,9th,1
27,Kingston University,9th,1
28,University of Leicester,9th,1
29,De Montfort University,10th,1
30,Liverpool John Moores University,10th,1
31,University of Portsmouth,10th,1
32,University of Wolverhampton,10th,1
33,University of Southampton,11th,2
34,Heriot-Watt University,13th,1
35,University of Sussex,13th,1
36,Swansea University,14th,1
37,Aston University,17th,1
38,University of the West of Scotland,17th,1
39,University of Manchester,18th,1
40,University of Surrey,18th,1
41,University of Cambridge,20th,1
42,University of Warwick,20th,1
43,Birmingham City University,24th,1
44,University of Liverpool,24th,1
45,University of Hull,25th,1
46,University of Sunderland,25th,1
47,University of Nottingham,26th,1
48,University of Edinburgh,27th,1
49,University of Exeter,30th,1
50,Newcastle University,31st,1
51,City University London,37th,1
52,London South Bank University,N/A,0
53,North East Wales Institute of Higher Education,N/A,0
54,Queen Mary University of London,N/A,0
55,University of Brighton,N/A,0
56,University of Derby,N/A,0
57,University of Northampton,N/A,0
58,University of Salford,N/A,0
