Rank,University,Lowest Place,#
1,Cardiff University Wales,1st,2
2,Queen's University Belfast,1st,1
3,University of Bath,1st,1
4,University of Birmingham,1st,1
5,Coventry University,2nd,2
6,University Of Hertfordshire,2nd,2
7,Liverpool John Moores University,2nd,1
8,Oxford Brookes University,2nd,1
9,University of Central Lancashire,2nd,1
10,Brunel University London,3rd,1
11,De Montfort University,3rd,1
12,Lancaster  University,3rd,1
13,University of Aberdeen,3rd,1
14,University of Glasgow,3rd,1
15,Loughborough University,4th,2
16,University of Leeds,5th,3
17,Staffordshire University,5th,1
18,University of Wales Trinity Saint David,5th,1
19,Swansea University,6th,1
20,University of the West of England,7th,2
21,Kingston University,7th,1
22,University of Ulster,7th,1
23,University of Manchester,8th,1
24,University of Strathclyde,8th,1
25,University of Huddersfield,9th,1
26,University of Surrey,9th,1
27,Imperial College London,10th,1
28,Sheffield Hallam University,10th,1
29,Manchester Metropolitan University,11th,1
30,University of Southampton,12th,1
31,Heriot-Watt University,13th,1
32,University of Portsmouth,13th,1
33,University of Sheffield,15th,1
34,Aston University,16th,1
35,University of Warwick,18th,1
36,University of Wolverhampton,18th,1
37,University of Liverpool,21st,1
38,University of Hull,23rd,1
39,University of Edinburgh,24th,1
40,University of Exeter,24th,1
41,University of Sussex,24th,1
42,University of Cambridge,26th,1
43,University of Sunderland,29th,1
44,University College London,30th,1
45,Newcastle University,32nd,1
46,University of Dundee,33rd,1
47,City University London,34th,1
48,University of Nottingham,35th,1
49,University of the West of Scotland,42nd,1
50,Birmingham City University,49th,1
51,London South Bank University,N/A,0
52,North East Wales Institute of Higher Education,N/A,0
53,Queen Mary University of London,N/A,0
54,University of Brighton,N/A,0
55,University of Derby,N/A,0
56,University of Leicester,N/A,0
57,University of Northampton,N/A,0
58,University of Salford,N/A,0
