Rank,University,Lowest Place,#
1,University of Leeds,1st,2
2,Brunel University London,1st,1
3,Oxford Brookes University,1st,1
4,University of Bath,1st,1
5,University of Birmingham,1st,1
6,University of Sheffield,1st,1
7,Staffordshire University,2nd,2
8,Cardiff University Wales,2nd,1
9,University of Aberdeen,2nd,1
10,University of Central Lancashire,2nd,1
11,University Of Hertfordshire,2nd,1
12,University of Wales Trinity Saint David,2nd,1
13,Kingston University,3rd,1
14,Swansea University,3rd,1
15,University of Glasgow,3rd,1
16,De Montfort University,4th,1
17,Loughborough University,4th,1
18,University of Leicester,4th,1
19,Aston University,5th,1
20,Coventry University,5th,1
21,Liverpool John Moores University,5th,1
22,University of the West of England,5th,1
23,University of Huddersfield,6th,2
24,Heriot-Watt University,6th,1
25,Queen's University Belfast,6th,1
26,University of Southampton,6th,1
27,University College London,7th,1
28,Manchester Metropolitan University,8th,1
29,University of Surrey,10th,1
30,Lancaster  University,11th,1
31,University of Strathclyde,11th,1
32,University of Wolverhampton,11th,1
33,Imperial College London,12th,1
34,Sheffield Hallam University,13th,1
35,University of Warwick,13th,1
36,University of Nottingham,14th,1
37,University of Sussex,14th,1
38,University of Hull,15th,1
39,University of Manchester,15th,1
40,University of Liverpool,16th,1
41,University of Brighton,17th,1
42,University of Dundee,17th,1
43,University of Cambridge,19th,1
44,Birmingham City University,20th,1
45,University of Sunderland,22nd,1
46,City University London,23rd,1
47,University of Portsmouth,26th,2
48,University of Ulster,26th,1
49,University of Edinburgh,33rd,1
50,University of Exeter,35th,1
51,University of Derby,47th,1
52,London South Bank University,N/A,0
53,Newcastle University,N/A,0
54,North East Wales Institute of Higher Education,N/A,0
55,Queen Mary University of London,N/A,0
56,University of Northampton,N/A,0
57,University of Salford,N/A,0
58,University of the West of Scotland,N/A,0
