Rank,University,Points
1,Togliatti State University,68.0
2,Moscow Polytechnic University,66.28
3,Bauman Moscow State Technical University,49.5
4,Peter the Great St. Petersburg Polytechnic University,45.56
5,Ural State University of Railway Transport,41.32
6,Cherepovets State University,37.34
7,Nizhny Novgorod State Technical University,36.0
8,Tyumen Industrial University,33.3
9,Peoples' Friendship University of Russia,29.24
10,Moscow State Automobile & Road Technical University - MADI,28.33
11,Belgorod state technological university named after V. G. Shukhov,24.44
12,Ufa State Aviation Technical University,0.0
