Rank,University,Lowest Place,#
1,University Carlos III of Madrid,1st,2
2,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,1st,1
3,Universidad Europea de Madrid,1st,1
4,Universitat Politécnica de Valéncia,1st,1
5,Escola Politècnica Superior d'Enginyeria de Manresa,3rd,1
6,Universidad de Vigo,3rd,1
7,University of the Basque Country,3rd,1
8,TECNUN - University of Navarra,4th,1
9,University of Seville,4th,1
10,Universidad Politécnica de Madrid (UPM),5th,1
11,University of Cadiz,5th,1
12,Universidad Rey Juan Carlos,10th,1
13,Universitat Jaume I,10th,1
14,Escola Universitària Salesiana de Sarrià (UAB),12th,1
15,University of Malaga,12th,1
16,Universidad Politécnica de Cartagena,14th,1
17,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,15th,1
18,Universidad de Castilla-La Mancha,16th,1
19,Universidad Francisco de Vitoria,24th,1
20,Universitat de Girona,29th,1
21,University of Valladolid,N/A,0
