Rank,University,Points
1,Gujarat Technological University,284.37
2,Smt. Kashibai Navale College of Engineering,207.77
3,Indian Institute of Technology Madras,184.62
4,K. J. Somaiya College of Engineering,168.83
5,Delhi Technological University,155.9
6,PES University,145.85
7,Manipal Academy of Higher Education,121.0
8,R.V.College of Engineering,103.96
9,Pimpri Chinchwad College Of Engineering,100.0
10,SRM Institute of Science and Technology - Kattankulathur,96.91
11,Dwarkadas. J. Sanghvi College of Engineering,79.78
12,Sardar Patel College of Engineering Mumbai,73.44
13,Vishwakarma Institute of Technology,68.82
14,VIT University - Vellore,58.6
15,Pune Vidyarti Griha's college of Engineering and Technology,40.3
16,MIT World Peace University,37.5
17,Kumaraguru College of Technology,36.13
18,Dr. D. Y. Patil Institute Of Engineering and Technology,26.1
19,SRM Institute of Science and Technology NCR Campus,17.78
20,VIT University - Chennai,16.45
21,PSG College of Technology,9.0
22,Vishwakarma Institute of Information Technology,9.0
23,Hindustan Institute of Technology and Science,7.5
24,Indian Institute of Technology Delhi,7.5
25,Rayat Institute of Engineering and Information Technology,7.5
26,Sinhgad College of Engineering Vadgaon,7.5
27,University of Delhi,7.5
28,Indian Institute of Technology Kharagpur,4.5
29,Acharya Institute of Technology,0.0
30,AISSMS (All India Shri Shivaji Memorial Society's) College of Engineering,0.0
31,Aligarh Muslim University,0.0
32,Amity School of Engineering and Technology,0.0
33,Amrita School of Engineering Coimbatore,0.0
34,Amrutvahini College Of Engineering Sangamner,0.0
35,Bangalore Institute of Technology,0.0
36,Bharati Vidyapeeth College of Engineering,0.0
37,Bhartiya Institute of Engineering and Technology,0.0
38,Birla Institute of Technology & Science  Pilani,0.0
39,Birla Institute of Technology Mesra,0.0
40,BITS Pilani KK Birla Goa Campus,0.0
41,Chaitanya Bharathi Institute of Technology,0.0
42,Chandigarh University,0.0
43,Charotar University of Science and Technology,0.0
44,Chitkara University Punjab,0.0
45,D.Y. Patil School of Engineering Academy Ambi,0.0
46,DIT University,0.0
47,Dr. Mahalingam College of Engineering and Technology,0.0
48,Fr Conceicao Rodrigues College of Engineering,0.0
49,G.V.Acharya Institute of Engineering & Technology,0.0
50,Galgotias University,0.0
51,Graphic Era University,0.0
52,Guru Gobind Singh Indraprastha University,0.0
53,Haldia Institute of Technology,0.0
54,HMR Institute of Technology & Management,0.0
55,Indian Institute of Technology Bombay,0.0
56,Indian Institute of Technology Dhanbad,0.0
57,Indian Institute of Technology Kanpur,0.0
58,Indian Institute of Technology Roorkee,0.0
59,Indira Gandhi Delhi Technical University for Women,0.0
60,J.C. Bose University of Science and Technology YMCA,0.0
61,J.S.S. Academy of Technical Education Noida,0.0
62,K L University,0.0
63,Kakatiya Institute of Technology and Science Warangal,0.0
64,Kalinga Institute of Industrial Technology,0.0
65,KLE Technological University,0.0
66,Laxmi Devi Institute of Engineering & Technology,0.0
67,Lokmanya Tilak College of Engineering,0.0
68,Lovely Professional University,0.0
69,M.H. Saboo Siddik College of Engineering,0.0
70,Madras Institute of Technology,0.0
71,Manav Rachna International University,0.0
72,Marathwada Mitra Mandal's College of Engineering,0.0
73,MCT's Rajiv Gandhi Institute of Technology,0.0
74,MGM's Jawaharlal Nehru Engineering College,0.0
75,Nagesh Karajagi Orchid College Of Engineering & Technology,0.0
76,National Institute of Technology - Calicut,0.0
77,National Institute of Technology - Jamshedpur,0.0
78,National Institute of Technology - Karnataka,0.0
79,National Institute of Technology - Kurukshetra,0.0
80,National Institute of Technology - Rourkela,0.0
81,NBN Sinhgad School Of Engineering,0.0
82,Netaji Subhas Institute of Technology,0.0
83,Nirma University,0.0
84,Nitte Meenakshi Institute of Technology,0.0
85,P.E.S. Modern College of Engineering,0.0
86,PEC University of Technology,0.0
87,PES Institute of Technology,0.0
88,Pillai College Of Engineering,0.0
89,Rajarambapu Institute of Technology,0.0
90,Rajarshi Shahu College Of Engineering,0.0
91,Rajendra Mane College of Engineering and Technology,0.0
92,Ramaiah Institute of Technology,0.0
93,RMD Sinhgad School of Engineering,0.0
94,Saraswati College of Engineering,0.0
95,Sardar Vallabhbhai National Institute of Technology,0.0
96,Shri G.S. Institute of Technology and Science Indore,0.0
97,Sinhgad Academy Of Engineering,0.0
98,Sri Venkateswara College of Engineering,0.0
99,SRM Institute of Science and Technology - Ramapuram,0.0
100,St. Vincent Pallotti College of Engineering and Technology,0.0
101,Symbiosis Institute of Technology,0.0
102,Thakur College of Engineering and Technology,0.0
103,Thapar Institute of Engineering and Technology,0.0
104,The National Institute of Engineering Mysore,0.0
105,TKM  College of Engineering,0.0
106,TSSM’s Bhivarabai Sawant College of Engineering & Research,0.0
107,University Institute of Technology RGPV Bhopal,0.0
108,Vasavi College of Engineering,0.0
109,Veer Surendra Sai University of Technology,0.0
110,Vidyavardhini's College of Engineering and Technology,0.0
