Rank,University,Points
1,Universidad LaSalle,31.22
2,Universidad Nacional Autónoma de México,2.75
3,Universidad Iberoamericana,1.25
4,Instituto Tecnológico de Chihuahua,0.88
5,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,0.83
6,Universidad Autónoma del Estado de México,0.38
7,Universidad Panamericana Sede México,0.36
8,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,0.0
9,ESIA San Luis Potosi,0.0
10,Instituto Politécnico Nacional,0.0
11,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,0.0
