Rank,University,Points
1,Instituto Tecnológico de Chihuahua,719.64
2,Universidad Nacional Autónoma de México,580.56
3,Universidad Autónoma del Estado de México,502.22
4,Universidad Panamericana Sede México,324.56
5,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,89.18
6,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,86.0
7,Universidad Iberoamericana,80.78
8,Universidad LaSalle,65.72
9,Instituto Politécnico Nacional,56.5
10,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,37.3
11,ESIA San Luis Potosi,20.4
