Rank,University,Points
1,Università degli Studi di Firenze,111.01
2,Alma Mater Studiorum - Università di Bologna,108.1
3,Università degli studi di Padova,107.68
4,Università della Calabria,105.26
5,University of Messina,105.0
6,University of Brescia,104.62
7,Marche Polytechnic University,103.74
8,University of Modena and Reggio Emilia,102.5
9,Politecnico di Milano,102.1
10,Politecnico di Torino,98.18
11,Università di Pisa,89.61
12,Università degli Studi di Roma La Sapienza,88.77
13,Università del Salento,87.94
14,Università degli Studi di Ferrara,86.0
15,Università degli Studi di Cagliari,85.47
16,Università degli Studi di Parma,84.46
17,Università degli Studi di Napoli Federico II,77.61
18,University of Perugia,75.85
19,Università degli Studi di Roma Tor Vergata,72.75
20,Università degli Studi di Catania,56.0
21,Università degli Studi della Tuscia,55.8
22,Politecnico di Bari,51.71
23,Università degli Studi di Salerno,21.9
