Rank,University,Points
1,Alma Mater Studiorum - Università di Bologna,35.24
2,Università degli Studi di Parma,29.27
3,Università degli Studi di Napoli Federico II,27.57
4,Università degli studi di Padova,26.42
5,Politecnico di Milano,23.58
6,Università della Calabria,22.9
7,University of Modena and Reggio Emilia,18.08
8,University of Brescia,17.94
9,Università degli Studi di Roma Tor Vergata,16.17
10,Università di Pisa,14.3
11,Università degli Studi di Roma La Sapienza,13.96
12,Politecnico di Torino,10.61
13,Università degli Studi di Firenze,9.91
14,Marche Polytechnic University,9.36
15,Politecnico di Bari,0.0
16,University of Perugia,0.0
17,Università degli Studi di Cagliari,0.0
18,Università degli Studi di Catania,0.0
19,Università degli Studi di Ferrara,0.0
20,Università degli Studi di Salerno,0.0
21,Università del Salento,0.0
22,Università degli Studi della Tuscia,-0.84
23,University of Messina,-7.6
