Rank,University,Lowest Place,#
1,Università degli studi di Padova,1st,4
2,Alma Mater Studiorum - Università di Bologna,1st,1
3,Politecnico di Milano,1st,1
4,University of Modena and Reggio Emilia,2nd,2
5,Università degli Studi di Firenze,2nd,1
6,Politecnico di Torino,3rd,1
7,Università degli Studi di Ferrara,3rd,1
8,Università della Calabria,4th,1
9,Università di Pisa,5th,1
10,Università degli Studi di Roma Tor Vergata,6th,1
11,Università degli Studi di Napoli Federico II,7th,1
12,Marche Polytechnic University,8th,1
13,Università degli Studi di Roma La Sapienza,8th,1
14,Università degli Studi della Tuscia,10th,1
15,Università del Salento,11th,1
16,Università degli Studi di Parma,12th,1
17,University of Brescia,17th,1
18,Politecnico di Bari,20th,1
19,University of Perugia,20th,1
20,Università degli Studi di Cagliari,21st,1
21,Università degli Studi di Catania,30th,1
22,University of Messina,36th,1
23,Università degli Studi di Salerno,N/A,0
