Acceleration - Average Points,11th,35.3,
Acceleration - Best Result,17th,10th,x1
Acceleration - Total,14th,211.78,
AutoX - Average Points,7th,51.17,
AutoX - Best Result,15th,12th,x1
AutoX - Total,12th,307.01,
Business Presentation - Average Points,6th,54.52,
Business Presentation - Best Result,9th,4th,x1
Business Presentation - Total,17th,327.13,
Cost - Average Points,9th,71.78,
Cost - Best Result,8th,1st,x1
Cost - Total,17th,430.7,
Endurance - Average Points,16th,20.8,
Endurance - Best Result,16th,15th,x1
Endurance - Total,15th,124.82,
Engineering Design - Average Points,6th,104.62,
Engineering Design - Best Result,16th,10th,x1
Engineering Design - Total,16th,627.69,
Fuel - Average Points,8th,17.94,
Fuel - Best Result,10th,6th,x1
Fuel - Total,13th,107.64,
Points - Average Points,9th,365.0,
Points - Total,16th,2190,
Skidpad - Average Points,18th,10.31,
Skidpad - Best Result,17th,17th,x1
Skidpad - Total,17th,61.83,
