Acceleration - Average Points,17th,51.72,
Acceleration - Best Result,12th,1st,x2
Acceleration - Total,19th,1396.54,
AutoX - Average Points,8th,90.44,
AutoX - Best Result,29th,3rd,x1
AutoX - Total,20th,2441.9,
Business Presentation - Average Points,20th,57.71,
Business Presentation - Best Result,38th,3rd,x1
Business Presentation - Total,25th,1558.21,
Cost - Average Points,46th,65.73,
Cost - Best Result,17th,1st,x1
Cost - Total,24th,1774.73,
Endurance - Average Points,11th,140.12,
Endurance - Best Result,19th,2nd,x2
Endurance - Total,18th,3783.18,
Engineering Design - Average Points,18th,98.29,
Engineering Design - Best Result,22nd,2nd,x1
Engineering Design - Total,26th,2653.77,
Fuel - Average Points,75th,14.08,
Fuel - Best Result,85th,11th,x2
Fuel - Total,41st,380.25,
Points - Average Points,12th,542.44,
Points - Total,21st,14646,
Skidpad - Average Points,35th,24.39,
Skidpad - Best Result,29th,2nd,x1
Skidpad - Total,30th,658.43,
