Acceleration - Average Points,70th,33.24,
Acceleration - Best Result,83rd,10th,x1
Acceleration - Total,97th,299.19,
AutoX - Average Points,81st,42.81,
AutoX - Best Result,130th,27th,x1
AutoX - Total,100th,385.27,
Business Presentation - Average Points,155th,35.81,
Business Presentation - Best Result,149th,31st,x1
Business Presentation - Total,129th,322.26,
Cost - Average Points,149th,49.8,
Cost - Best Result,152nd,30th,x1
Cost - Total,134th,448.17,
Endurance - Average Points,57th,77.61,
Endurance - Best Result,76th,9th,x1
Endurance - Total,77th,698.48,
Engineering Design - Average Points,66th,74.33,
Engineering Design - Best Result,124th,18th,x1
Engineering Design - Total,114th,669.0,
Points - Average Points,80th,326.44,
Points - Total,107th,2938,
Skidpad - Average Points,90th,12.73,
Skidpad - Best Result,101st,16th,x1
Skidpad - Total,105th,114.57,
