Acceleration - Average Points,47th,1.63,
Acceleration - Best Result,51st,49th,x1
Acceleration - Total,47th,14.7,
AutoX - Average Points,44th,7.52,
AutoX - Best Result,43rd,24th,x1
AutoX - Total,44th,67.7,
Business Presentation - Average Points,38th,43.08,
Business Presentation - Best Result,34th,11th,x1
Business Presentation - Total,34th,387.7,
Cost - Average Points,33rd,49.44,
Cost - Best Result,12th,2nd,x1
Cost - Total,35th,445.0,
Endurance - Average Points,42nd,5.22,
Endurance - Best Result,44th,20th,x1
Endurance - Total,42nd,47.0,
Engineering Design - Average Points,36th,56.67,
Engineering Design - Best Result,30th,14th,x1
Engineering Design - Total,36th,510.0,
Fuel - Average Points,26th,9.98,
Fuel - Best Result,37th,14th,x1
Fuel - Total,26th,89.8,
Points - Average Points,40th,168.56,
Points - Total,39th,1517,
Skidpad - Average Points,42nd,2.42,
Skidpad - Best Result,46th,29th,x1
Skidpad - Total,40th,21.8,
