Acceleration - Average Points,44th,42.51,,
Acceleration - Average Points,52nd,in Huntsville,39.58,
Acceleration - Average Points,181st,at Birmingham,3.5,
Acceleration - Best Result,60th,6th,1,
Acceleration - Best Result,161st,in Huntsville,38th,x1
Acceleration - Best Result,165th,at Birmingham,42nd,x1
Acceleration - Total,59th,637.6,,
Acceleration - Total,155th,in Huntsville,79.17,
Acceleration - Total,187th,at Birmingham,3.5,
AutoX - Average Points,67th,49.68,,
AutoX - Average Points,177th,at Birmingham,7.5,
AutoX - Average Points,183rd,in Huntsville,3.75,
AutoX - Best Result,58th,8th,1,
AutoX - Best Result,165th,at Birmingham,44th,x1
AutoX - Best Result,186th,in Huntsville,83rd,x1
AutoX - Total,66th,745.22,,
AutoX - Total,184th,at Birmingham,7.5,
AutoX - Total,185th,in Huntsville,7.5,
Business Presentation - Average Points,36th,53.65,,
Business Presentation - Average Points,89th,at Birmingham,45.57,
Business Presentation - Average Points,169th,in Huntsville,32.95,
Business Presentation - Best Result,65th,6th,1,
Business Presentation - Best Result,164th,in Huntsville,40th,x1
Business Presentation - Best Result,167th,at Birmingham,42nd,x1
Business Presentation - Total,67th,804.71,,
Business Presentation - Total,182nd,in Huntsville,65.9,
Business Presentation - Total,186th,at Birmingham,45.57,
Cost - Average Points,108th,57.27,,
Cost - Average Points,160th,at Birmingham,46.0,
Cost - Average Points,190th,in Huntsville,6.83,
Cost - Best Result,110th,13th,1,
Cost - Best Result,178th,at Birmingham,52nd,x1
Cost - Best Result,181st,in Huntsville,55th,x1
Cost - Total,89th,859.08,,
Cost - Total,185th,at Birmingham,46.0,
Cost - Total,189th,in Huntsville,13.66,
Endurance - Average Points,79th,57.47,,
Endurance - Best Result,61st,7th,1,
Endurance - Total,71st,862.11,,
Engineering Design - Average Points,53rd,79.33,,
Engineering Design - Average Points,163rd,in Huntsville,50.0,
Engineering Design - Average Points,185th,at Birmingham,40.0,
Engineering Design - Best Result,38th,5th,2,
Engineering Design - Best Result,164th,at Birmingham,43rd,x1
Engineering Design - Best Result,193rd,in Huntsville,79th,x1
Engineering Design - Total,73rd,1190.0,,
Engineering Design - Total,182nd,in Huntsville,100.0,
Engineering Design - Total,194th,at Birmingham,40.0,
Fuel - Average Points,18th,27.1,,
Fuel - Best Result,95th,12th,1,
Fuel - Total,39th,406.5,,
Points - Average Points,56th,385.53,,
Points - Average Points,179th,at Birmingham,145.0,
Points - Average Points,182nd,in Huntsville,138.0,
Points - Total,66th,5783,,
Points - Total,184th,in Huntsville,276,
Points - Total,191st,at Birmingham,145,
Skidpad - Average Points,57th,19.18,,
Skidpad - Average Points,158th,in Huntsville,4.64,
Skidpad - Average Points,176th,at Birmingham,2.5,
Skidpad - Best Result,46th,5th,1,
Skidpad - Best Result,163rd,at Birmingham,39th,x1
Skidpad - Best Result,181st,in Huntsville,76th,x1
Skidpad - Total,62nd,287.72,,
Skidpad - Total,178th,in Huntsville,9.29,
Skidpad - Total,183rd,at Birmingham,2.5,
