Rank,University,Points
1,Universität Stuttgart,131.33
2,Karlsruhe Institute of Technology,126.81
3,Technical University of Munich,125.21
4,Hochschule Esslingen,124.51
5,Friedrich-Alexander-Universität Erlangen-Nürnberg,109.99
6,Westsächsische Hochschule Zwickau,109.09
7,Fachhochschule München,107.52
8,Hochschule für Angewandte Wissenschaften Hamburg,106.0
9,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),104.21
10,Technische Universität Berlin,103.2
11,Technische Universität Bergakademie Freiberg,102.42
12,Fachhochschule Coburg,101.65
13,Technische Universität Braunschweig,101.3
14,Universität Kassel,99.96
15,Hochschule Karlsruhe - Technik und Wirtschaft,99.01
16,Ostbayerische Technische Hochschule Regensburg,98.61
17,Universität Paderborn,96.42
18,Technische Universität Darmstadt,93.91
19,Ostfalia University of Applied Sciences,93.81
20,University of Applied Sciences Ravensburg-Weingarten,92.92
21,Universität Bayreuth,92.09
22,Technische Hochschule Mittelhessen,91.15
23,Technische Hochschule Köln,88.8
24,Fachhochschule Stralsund,87.81
25,Technische Universität Dresden,87.5
26,Hochschule Darmstadt UAS,86.47
27,Fachhochschule Konstanz,85.82
28,Fachhochschule Kiel,85.79
29,Technische Hochschule Ostwestfalen-Lippe,84.44
30,Hochschule Niederrhein,83.65
31,UAS Würzburg-Schweinfurt,81.93
32,Hochschule RheinMain,81.03
33,Duale Hochschule Baden-Württemberg Ravensburg,80.25
34,Rheinisch-Westfälische Technische Hochschule Aachen,80.0
35,Universität Siegen,80.0
36,Hochschule für Technik und Wirtschaft Berlin,79.31
37,UAS Kempten,77.78
38,Hochschule Pforzheim,77.62
39,Universität der Bundeswehr München,73.89
40,Ruhr-Universität Bochum,73.3
41,Saarland University,71.49
42,Hochschule Mannheim,70.12
43,Fachhochschule Hannover,69.6
44,Ulm University of Applied Sciences,68.42
45,Berlin School of Economics,68.0
46,Technische Universität Ilmenau,67.5
47,Hochschule für Technik und Wirtschaft Mittweida,66.21
48,Fachhochschule Aachen,66.1
49,Otto-von-Guericke-Universität Magdeburg,63.55
50,Brandenburgische Technische Universität Cottbus,63.29
51,Deggendorf Institute of Technology,62.5
52,Technische Universität Kaiserslautern,62.22
53,Hochschule Heilbronn,60.62
54,Bergische Universität Wuppertal,60.21
55,Fachhochschule Dortmund,59.34
56,Fachhochschule Osnabrück,59.0
57,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,56.49
58,Fachhochschule für Wirtschaft und Technik,55.83
59,Technische Universität Dortmund,55.13
60,Fachhochschule Frankfurt am Main,54.5
61,Duale Hochschule Baden-Württemberg Stuttgart,53.33
62,Hochschule Bonn-Rhein-Sieg,51.67
63,Leibniz Universität Hannover,47.25
64,Koblenz University of Applied Science,42.0
65,Technische Hochschule Lübeck,38.58
66,Hochschule Offenburg,32.8
