Rank,University,Points
1,Universität Stuttgart,49.34
2,Technische Universität Berlin,47.03
3,Hochschule Esslingen,42.61
4,Friedrich-Alexander-Universität Erlangen-Nürnberg,42.3
5,Hochschule Darmstadt UAS,37.58
6,Hochschule Pforzheim,35.61
7,Fachhochschule Coburg,35.38
8,Hochschule für Technik und Wirtschaft Mittweida,33.81
9,Technische Hochschule Mittelhessen,33.6
10,Technical University of Munich,33.51
11,Ulm University of Applied Sciences,29.63
12,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),28.0
13,Universität Kassel,27.64
14,Hochschule für Angewandte Wissenschaften Hamburg,27.26
15,Universität Paderborn,26.52
16,Fachhochschule Kiel,26.43
17,Hochschule Karlsruhe - Technik und Wirtschaft,26.07
18,Ostbayerische Technische Hochschule Regensburg,25.2
19,Karlsruhe Institute of Technology,24.1
20,UAS Würzburg-Schweinfurt,23.1
21,Fachhochschule München,22.45
22,University of Applied Sciences Ravensburg-Weingarten,21.52
23,Hochschule Niederrhein,19.81
24,Duale Hochschule Baden-Württemberg Stuttgart,19.71
25,Hochschule Mannheim,19.14
26,Universität Siegen,18.88
27,Technische Universität Bergakademie Freiberg,18.43
28,Fachhochschule Konstanz,17.77
29,Technische Universität Darmstadt,17.41
30,Fachhochschule Stralsund,17.34
31,Hochschule Bonn-Rhein-Sieg,17.27
32,Fachhochschule für Wirtschaft und Technik,16.86
33,UAS Kempten,16.37
34,Westsächsische Hochschule Zwickau,15.51
35,Technische Universität Braunschweig,14.78
36,Technische Hochschule Ostwestfalen-Lippe,14.55
37,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,14.24
38,Fachhochschule Hannover,13.46
39,Fachhochschule Osnabrück,12.88
40,Technische Universität Dresden,12.83
41,Ostfalia University of Applied Sciences,12.07
42,Hochschule Heilbronn,11.76
43,Technische Hochschule Köln,11.28
44,Deggendorf Institute of Technology,10.9
45,Hochschule RheinMain,8.36
46,Fachhochschule Dortmund,8.23
47,Duale Hochschule Baden-Württemberg Ravensburg,7.34
48,Fachhochschule Aachen,6.67
49,Rheinisch-Westfälische Technische Hochschule Aachen,6.53
50,Saarland University,6.48
51,Ruhr-Universität Bochum,6.28
52,Hochschule für Technik und Wirtschaft Berlin,6.07
53,Otto-von-Guericke-Universität Magdeburg,4.59
54,Bergische Universität Wuppertal,3.92
55,Brandenburgische Technische Universität Cottbus,2.37
56,Universität Bayreuth,2.22
57,Technische Universität Dortmund,1.83
58,Technische Universität Kaiserslautern,0.98
59,Berlin School of Economics,0.0
60,Fachhochschule Frankfurt am Main,0.0
61,Hochschule Offenburg,0.0
62,Koblenz University of Applied Science,0.0
63,Leibniz Universität Hannover,0.0
64,Technische Hochschule Lübeck,0.0
65,Technische Universität Ilmenau,0.0
66,Universität der Bundeswehr München,0.0
