Rank,University,Lowest Place,#
1,Universität Stuttgart,1st,8
2,Karlsruhe Institute of Technology,1st,6
3,Fachhochschule Konstanz,1st,4
4,Hochschule Darmstadt UAS,1st,2
5,Hochschule Esslingen,1st,2
6,Hochschule Karlsruhe - Technik und Wirtschaft,1st,2
7,Technische Universität Berlin,1st,2
8,UAS Kempten,1st,2
9,Duale Hochschule Baden-Württemberg Stuttgart,1st,1
10,Fachhochschule Coburg,1st,1
11,Fachhochschule Dortmund,1st,1
12,Fachhochschule München,1st,1
13,Fachhochschule Stralsund,1st,1
14,Hochschule für Technik und Wirtschaft Berlin,1st,1
15,Ostbayerische Technische Hochschule Regensburg,1st,1
16,Ostfalia University of Applied Sciences,1st,1
17,Technical University of Munich,1st,1
18,Technische Hochschule Mittelhessen,1st,1
19,Technische Universität Bergakademie Freiberg,1st,1
20,Technische Universität Braunschweig,1st,1
21,University of Applied Sciences Ravensburg-Weingarten,1st,1
22,Universität Kassel,1st,1
23,Universität Paderborn,1st,1
24,Westsächsische Hochschule Zwickau,1st,1
25,Friedrich-Alexander-Universität Erlangen-Nürnberg,2nd,1
26,Hochschule Mannheim,2nd,1
27,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2nd,1
28,Hochschule für Angewandte Wissenschaften Hamburg,3rd,3
29,Fachhochschule Aachen,3rd,1
30,Hochschule Pforzheim,3rd,1
31,Otto-von-Guericke-Universität Magdeburg,3rd,1
32,Rheinisch-Westfälische Technische Hochschule Aachen,3rd,1
33,Technische Universität Darmstadt,3rd,1
34,Ulm University of Applied Sciences,4th,2
35,Duale Hochschule Baden-Württemberg Ravensburg,4th,1
36,Ruhr-Universität Bochum,4th,1
37,UAS Würzburg-Schweinfurt,4th,1
38,Fachhochschule Hannover,5th,2
39,Universität Bayreuth,5th,1
40,Hochschule für Technik und Wirtschaft Mittweida,6th,1
41,Hochschule RheinMain,6th,1
42,Technische Hochschule Lübeck,6th,1
43,Fachhochschule für Wirtschaft und Technik,7th,1
44,Fachhochschule Kiel,7th,1
45,Universität der Bundeswehr München,7th,1
46,Hochschule Niederrhein,8th,1
47,Technische Hochschule Ostwestfalen-Lippe,10th,1
48,Universität Siegen,10th,1
49,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,11th,1
50,Koblenz University of Applied Science,11th,1
51,Deggendorf Institute of Technology,12th,1
52,Technische Universität Dresden,12th,1
53,Berlin School of Economics,14th,1
54,Technische Universität Ilmenau,14th,1
55,Saarland University,16th,1
56,Technische Hochschule Köln,16th,1
57,Hochschule Heilbronn,17th,2
58,Bergische Universität Wuppertal,18th,1
59,Technische Universität Dortmund,20th,1
60,Brandenburgische Technische Universität Cottbus,25th,1
61,Technische Universität Kaiserslautern,25th,1
62,Fachhochschule Osnabrück,26th,1
63,Hochschule Offenburg,28th,1
64,Leibniz Universität Hannover,57th,2
65,Hochschule Bonn-Rhein-Sieg,60th,1
66,Fachhochschule Frankfurt am Main,61st,1
