Rank,University,Points
1,Universität Stuttgart,4309.77
2,Fachhochschule Coburg,2882.5
3,Hochschule Esslingen,2599.78
4,Karlsruhe Institute of Technology,2449.8
5,Technical University of Munich,2284.4
6,Hochschule für Angewandte Wissenschaften Hamburg,1956.63
7,Hochschule Karlsruhe - Technik und Wirtschaft,1741.21
8,Friedrich-Alexander-Universität Erlangen-Nürnberg,1678.47
9,Fachhochschule München,1641.02
10,University of Applied Sciences Ravensburg-Weingarten,1600.46
11,Fachhochschule Stralsund,1588.4
12,Ostbayerische Technische Hochschule Regensburg,1548.13
13,Universität Paderborn,1447.84
14,Fachhochschule Konstanz,1261.16
15,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1224.59
16,UAS Kempten,1175.08
17,Technische Universität Berlin,1067.9
18,Hochschule Darmstadt UAS,915.58
19,Technische Hochschule Mittelhessen,880.33
20,UAS Würzburg-Schweinfurt,873.84
21,Universität Kassel,855.98
22,Technische Universität Braunschweig,791.11
23,Fachhochschule Kiel,756.23
24,Fachhochschule Aachen,744.67
25,Ulm University of Applied Sciences,726.36
26,Technische Universität Darmstadt,707.99
27,Hochschule RheinMain,670.82
28,Westsächsische Hochschule Zwickau,595.04
29,Hochschule für Technik und Wirtschaft Berlin,574.69
30,Technische Hochschule Ostwestfalen-Lippe,562.24
31,Technische Universität Bergakademie Freiberg,542.12
32,Ostfalia University of Applied Sciences,521.99
33,Fachhochschule Hannover,418.8
34,Rheinisch-Westfälische Technische Hochschule Aachen,412.9
35,Hochschule Pforzheim,408.14
36,Duale Hochschule Baden-Württemberg Ravensburg,399.35
37,Universität Bayreuth,336.57
38,Hochschule Heilbronn,332.46
39,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,317.8
40,Hochschule Niederrhein,286.85
41,Fachhochschule Dortmund,269.81
42,Saarland University,267.9
43,Hochschule für Technik und Wirtschaft Mittweida,235.08
44,Ruhr-Universität Bochum,231.46
45,Otto-von-Guericke-Universität Magdeburg,228.11
46,Technische Universität Kaiserslautern,196.71
47,Fachhochschule Osnabrück,181.7
48,Technische Hochschule Köln,169.98
49,Bergische Universität Wuppertal,162.37
50,Technische Universität Dresden,149.79
51,Hochschule Mannheim,144.92
52,Universität Siegen,143.81
53,Deggendorf Institute of Technology,127.38
54,Technische Universität Dortmund,122.05
55,Technische Hochschule Lübeck,106.08
56,Duale Hochschule Baden-Württemberg Stuttgart,102.58
57,Leibniz Universität Hannover,86.75
58,Hochschule Bonn-Rhein-Sieg,78.6
59,Fachhochschule für Wirtschaft und Technik,70.92
60,Hochschule Offenburg,44.9
61,Brandenburgische Technische Universität Cottbus,27.96
62,Technische Universität Ilmenau,6.43
63,Universität der Bundeswehr München,3.5
64,Berlin School of Economics,0.0
65,Fachhochschule Frankfurt am Main,0.0
66,Koblenz University of Applied Science,0.0
