Rank,University,Lowest Place,#
1,University of Seville,1st,4
2,University of the Basque Country,1st,3
3,Universidad Pontificia Comillas,1st,2
4,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,1st,1
5,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2nd,2
6,TECNUN - University of Navarra,4th,1
7,Universidad Politécnica de Madrid (UPM),6th,1
8,Escola d'Enginyeria de Barcelona Est. EEBE,8th,3
9,Universidad de Oviedo,11th,1
10,Vitoria-University of the Basque Country,15th,1
11,Universidad Politécnica de Cartagena,20th,1
12,University of Alcalá,23rd,1
13,Universidad de Castilla-La Mancha,36th,1
14,University of La Laguna,37th,1
