Acceleration - Average Points,56th,52.17,
Acceleration - Best Result,7th,1st,x5
Acceleration - Total,3rd,3077.84,
AutoX - Average Points,44th,88.03,
AutoX - Best Result,19th,1st,x3
AutoX - Total,3rd,5193.65,
Business Presentation - Average Points,53rd,59.44,
Business Presentation - Best Result,14th,1st,x3
Business Presentation - Total,3rd,3507.24,
Cost - Average Points,77th,70.99,
Cost - Best Result,25th,1st,x2
Cost - Total,3rd,4188.19,
Endurance - Average Points,43rd,150.44,
Endurance - Best Result,7th,1st,x6
Endurance - Total,5th,8875.97,
Engineering Design - Average Points,7th,130.87,
Engineering Design - Best Result,3rd,1st,x10
Engineering Design - Total,3rd,7721.6,
Fuel - Average Points,74th,30.28,
Fuel - Best Result,37th,1st,x1
Fuel - Total,5th,1786.75,
Points - Average Points,19th,620.85,
Points - Total,3rd,36630,
Skidpad - Average Points,11th,44.44,
Skidpad - Best Result,5th,1st,x7
Skidpad - Total,3rd,2622.09,
