Acceleration - Average Points,8th,64.19,
Acceleration - Best Result,5th,1st,x7
Acceleration - Total,9th,2567.79,
AutoX - Average Points,58th,83.55,
AutoX - Best Result,10th,1st,x6
AutoX - Total,20th,3341.93,
Business Presentation - Average Points,58th,59.37,
Business Presentation - Best Result,26th,1st,x2
Business Presentation - Total,17th,2374.83,
Cost - Average Points,76th,71.36,
Cost - Best Result,15th,1st,x3
Cost - Total,14th,2854.43,
Endurance - Average Points,26th,164.27,
Endurance - Best Result,7th,1st,x6
Endurance - Total,12th,6570.9,
Engineering Design - Average Points,29th,114.36,
Engineering Design - Best Result,23rd,1st,x2
Engineering Design - Total,14th,4574.32,
Fuel - Average Points,51st,33.97,
Fuel - Best Result,36th,1st,x1
Fuel - Total,12th,1358.69,
Points - Average Points,14th,633.9,
Points - Total,14th,25356,
Skidpad - Average Points,11th,45.44,
Skidpad - Best Result,15th,1st,x3
Skidpad - Total,10th,1817.66,
