Rank,University,Lowest Place,#
1,Universität Stuttgart,1st,7
2,Westsächsische Hochschule Zwickau,1st,5
3,Fachhochschule München,1st,4
4,Karlsruhe Institute of Technology,1st,4
5,Technische Universität Dresden,1st,4
6,Rheinisch-Westfälische Technische Hochschule Aachen,1st,2
7,Hochschule RheinMain,1st,1
8,Technische Universität Chemnitz,1st,1
9,Technische Universität Darmstadt,1st,1
10,Duale Hochschule Baden-Württemberg Stuttgart,2nd,3
11,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2nd,2
12,Technical University of Munich,2nd,2
13,UAS Würzburg-Schweinfurt,2nd,2
14,Fachhochschule für Wirtschaft und Technik,2nd,1
15,Fachhochschule Kiel,2nd,1
16,Hochschule für Angewandte Wissenschaften Hof,2nd,1
17,Hochschule Mannheim,2nd,1
18,Technische Universität Bergakademie Freiberg,2nd,1
19,Technische Universität Berlin,2nd,1
20,Universität Bayreuth,2nd,1
21,Hochschule Bonn-Rhein-Sieg,3rd,1
22,Technische Hochschule Ingolstadt,3rd,1
23,Technische Universität Kaiserslautern,3rd,1
24,Universität Kassel,3rd,1
25,Hochschule Pforzheim,4th,2
26,Ostbayerische Technische Hochschule Regensburg,4th,2
27,Technische Universität Ilmenau,4th,2
28,Deggendorf Institute of Technology,4th,1
29,Fachhochschule Konstanz,4th,1
30,Hochschule Aalen - Technik und Wirtschaft,4th,1
31,Leibniz Universität Hannover,4th,1
32,Saarland University,4th,1
33,Technische Universität Clausthal,4th,1
34,Technische Universität Hamburg,4th,1
35,Universität Paderborn,4th,1
36,Universität Siegen,4th,1
37,Hochschule Esslingen,5th,1
38,Hochschule für angewandte Wissenschaften Augsburg,5th,1
39,Ostfalia University of Applied Sciences,5th,1
40,Universität Duisburg-Essen,5th,1
41,Fachhochschule Osnabrück,6th,1
42,Hochschule Karlsruhe - Technik und Wirtschaft,6th,1
43,Ulm University of Applied Sciences,6th,1
44,Georg-Simon-Ohm-Hochschule Nürnberg,7th,1
45,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),7th,1
46,Technische Universität Braunschweig,7th,1
47,Hochschule Landshut,8th,1
48,Duale Hochschule Baden-Württemberg - Mannheim,9th,1
49,Hochschule Niederrhein,9th,1
50,Technische Universität Dortmund,9th,1
51,University of Applied Sciences Ravensburg-Weingarten,9th,1
52,Hochschule Darmstadt UAS,10th,1
53,Hochschule Ruhr West - UAS,10th,1
54,Otto-von-Guericke-Universität Magdeburg,10th,1
55,Duale Hochschule Baden-Württemberg Mosbach,11th,1
56,Technische Hochschule Ostwestfalen-Lippe,11th,1
57,Technische Hochschule Köln,12th,1
58,UAS Kempten,14th,1
59,Universität Bremen,14th,1
60,Friedrich-Alexander-Universität Erlangen-Nürnberg,16th,1
61,Hochschule Düsseldorf,17th,1
62,Hochschule für Technik und Wirtschaft Mittweida,20th,1
63,Ruhr-Universität Bochum,20th,1
64,Rhein-Waal University of Applied Sciences,28th,1
65,Universität der Bundeswehr München,38th,1
