Rank,University,Points
1,Pimpri Chinchwad College Of Engineering,325.0
2,K. J. Somaiya College of Engineering,240.97
3,Indian Institute of Technology Bombay,46.0
4,Indian Institute of Technology Delhi,14.0
5,Indian Institute of Technology Roorkee,2.0
6,Delhi Technological University,0.0
7,Dwarkadas. J. Sanghvi College of Engineering,0.0
8,MCT's Rajiv Gandhi Institute of Technology,0.0
9,MIT World Peace University,0.0
10,PSG Institute of Technology and Applied Research,0.0
11,R.V.College of Engineering,0.0
12,Ramaiah Institute of Technology,0.0
13,Sardar Patel College of Engineering Mumbai,0.0
14,Smt. Kashibai Navale College of Engineering,0.0
15,SRM Institute of Science and Technology - Kattankulathur,0.0
16,VIT University - Chennai,0.0
17,VIT University - Vellore,0.0
